gram	0	0	2	1	0	0	7	0.285714	0	97	113
bu	0	0	2	0.5	0	0	7	0.428571	1	117	95
de	0	0	2	1	0	0	7	0.428571	0	101	86
po	0	0	4	0.25	0	0	7	0.571429	1	111	95
sùis	0	0	4	0.5	0	0	7	0.571429	0	105	98
knu	0	0	4	0.75	0	0	7	0.571429	0	117	102
ùÌ	0	0	4	1	0	0	7	0.571429	0	237	78
kl·	0	0	3	0.333333	0	0	7	0.714286	1	225	86
ve	0	0	3	0.666667	0	0	7	0.714286	0	101	96
si	0	0	3	1	0	0	7	0.714286	0	105	90
'en	0	0	2	0.5	0	0	7	0.857143	1	101	91
tr	0	0	2	1	0	0	7	0.857143	0	114	95
'u	0	0	3	0.333333	0	1	7	1	1	117	85
kon	0	0	3	0.666667	0	1	7	1	0	111	79
Ëen	0	0	3	1	0	1	7	1	0	101	64
------------------------------------------											
traù	1	0	1	1	1	0	3	0.333333	1	97	130
se	1	0	1	1	0	0	3	0.666667	1	101	81
'o	0	0	4	0.25	0	1	3	1	1	111	82
pra	0	0	4	0.5	0	1	3	1	0	97	86
vu	0	0	4	0.75	0	1	3	1	0	117	85
je	0	0	4	1	0	1	3	1	0	101	113
'a	1	0	1	1	1	0	5	0.2	1	97	84
pro	0	0	2	0.5	0	0	5	0.4	1	111	108
to	0	0	2	1	0	0	5	0.4	0	111	120
vlag	1	0	1	1	0	0	5	0.6	1	97	85
dnes	1	0	1	1	0	0	5	0.8	1	101	83
ne	0	0	3	0.333333	0	1	5	1	1	101	75
je	0	0	3	0.666667	0	1	5	1	0	101	75
de	0	0	3	1	0	1	5	1	0	101	63
------------------------------------------											
vÌ	0	0	3	0.333333	1	0	3	0.333333	1	237	91
sle	0	0	3	0.666667	1	0	3	0.333333	0	101	129
dek	0	0	3	1	1	0	3	0.333333	0	101	104
ne	0	0	3	0.333333	0	0	3	0.666667	1	101	100
bu	0	0	3	0.666667	0	0	3	0.666667	0	117	129
de	0	0	3	1	0	0	3	0.666667	0	101	100
pÿe	0	0	2	0.5	0	1	3	1	1	101	91
snÌ	0	0	2	1	0	1	3	1	0	237	83
pro	0	0	3	0.333333	1	0	4	0.25	1	111	92
to	0	0	3	0.666667	1	0	4	0.25	0	111	117
ûe	0	0	3	1	1	0	4	0.25	0	101	92
ne	0	0	3	0.333333	0	0	4	0.5	1	101	87
m·	0	0	3	0.666667	0	0	4	0.5	0	225	101
me	0	0	3	1	0	0	4	0.5	0	101	106
ji	0	0	2	0.5	0	0	4	0.75	1	105	81
nÈ	0	0	2	1	0	0	4	0.75	0	233	82
'˙	0	0	3	0.333333	0	1	4	1	1	250	78
da	0	0	3	0.666667	0	1	4	1	0	97	69
je	0	0	3	1	0	1	4	1	0	101	66
------------------------------------------											
traù	1	0	1	1	1	0	7	0.142857	1	97	89
spar	0	0	3	0.333333	0	0	7	0.285714	1	97	123
du	0	0	3	0.666667	0	0	7	0.285714	0	117	141
biZ	0	0	3	1	0	0	7	0.285714	0	105	97
do	0	0	3	0.333333	0	0	7	0.428571	1	111	91
pl	0	0	3	0.666667	0	0	7	0.428571	0	108	106
zÚe	0	0	3	1	0	0	7	0.428571	0	101	107
se	1	0	1	1	0	0	7	0.571429	1	101	89
ten	0	0	2	0.5	0	0	7	0.714286	1	101	97
to	0	0	2	1	0	0	7	0.714286	0	111	110
tÌ	0	0	2	0.5	0	0	7	0.857143	1	237	110
den	0	0	2	1	0	0	7	0.857143	0	101	85
'o	0	0	4	0.25	0	1	7	1	1	111	76
pra	0	0	4	0.5	0	1	7	1	0	97	78
vu	0	0	4	0.75	0	1	7	1	0	117	74
je	0	0	4	1	0	1	7	1	0	101	83
'a	1	0	1	1	1	0	9	0.111111	1	97	87
pro	0	0	2	0.5	0	0	9	0.222222	1	111	113
to	0	0	2	1	0	0	9	0.222222	0	111	150
je	1	0	1	1	0	0	9	0.333333	1	101	133
do	0	0	3	0.333333	0	0	9	0.444444	1	111	109
Ëa	0	0	3	0.666667	0	0	9	0.444444	0	97	129
sÚe	0	0	3	1	0	0	9	0.444444	0	101	89
'o	0	0	3	0.333333	0	0	9	0.555556	1	111	97
me	0	0	3	0.666667	0	0	9	0.555556	0	101	117
zen	0	0	3	1	0	0	9	0.555556	0	101	97
pro	0	0	2	0.5	0	0	9	0.666667	1	111	101
vos	0	0	2	1	0	0	9	0.666667	0	111	115
me	0	0	2	0.5	0	0	9	0.777778	1	101	101
zi	0	0	2	1	0	0	9	0.777778	0	105	91
'o	0	0	3	0.333333	0	0	9	0.888889	1	111	83
bje	0	0	3	0.666667	0	0	9	0.888889	0	101	94
ma	0	0	3	1	0	0	9	0.888889	0	97	75
mÌs	0	0	2	0.5	0	1	9	1	1	237	88
ti	0	0	2	1	0	1	9	1	0	105	110
do	0	0	2	0.5	1	0	6	0.166667	1	111	94
kut	0	0	2	1	1	0	6	0.166667	0	117	82
ne	0	0	3	0.333333	0	0	6	0.333333	1	101	89
bu	0	0	3	0.666667	0	0	6	0.333333	0	117	114
dO	0	0	3	1	0	0	6	0.333333	0	79	81
'oc	0	0	4	0.25	0	0	6	0.5	1	111	82
tra	0	0	4	0.5	0	0	6	0.5	0	97	96
Úe	0	0	4	0.75	0	0	6	0.5	0	101	100
ni	0	0	4	1	0	0	6	0.5	0	105	92
n·	0	0	3	0.333333	0	0	6	0.666667	1	225	78
slet	0	0	3	0.666667	0	0	6	0.666667	0	101	97
ki	0	0	3	1	0	0	6	0.666667	0	105	108
prut	0	0	3	0.333333	0	0	6	0.833333	1	117	83
kÈ	0	0	3	0.666667	0	0	6	0.833333	0	233	88
ho	0	0	3	1	0	0	6	0.833333	0	111	84
deö	0	0	2	0.5	0	1	6	1	1	101	75
ùe	0	0	2	1	0	1	6	1	0	101	64
------------------------------------------											
sO	0	0	2	0.5	1	0	7	0.142857	1	79	130
bor	0	0	2	1	1	0	7	0.142857	0	111	147
'op	0	0	5	0.2	0	0	7	0.285714	1	111	116
sa	0	0	5	0.4	0	0	7	0.285714	0	97	112
hu	0	0	5	0.6	0	0	7	0.285714	0	117	113
jÌ	0	0	5	0.8	0	0	7	0.285714	0	237	116
cÌ	0	0	5	1	0	0	7	0.285714	0	237	89
'˙	0	0	3	0.333333	0	0	7	0.428571	1	250	97
pl	0	0	3	0.666667	0	0	7	0.428571	0	108	116
nÈ	0	0	3	1	0	0	7	0.428571	0	233	92
ta	0	0	3	0.333333	0	0	7	0.571429	1	97	95
bul	0	0	3	0.666667	0	0	7	0.571429	0	117	112
ki	0	0	3	1	0	0	7	0.571429	0	105	86
dat	1	0	1	1	0	0	7	0.714286	1	97	92
je	1	0	1	1	0	0	7	0.857143	1	101	78
'u	0	0	3	0.333333	0	1	7	1	1	117	82
lo	0	0	3	0.666667	0	1	7	1	0	111	83
ûen	0	0	3	1	0	1	7	1	0	101	82
pro	0	0	2	0.5	1	0	6	0.166667	1	111	108
