UU 9 118
R: 0 0
AA 9 118
EE 8 102
II 7 84
OO 7 94
UU 9 118
AA 9 118
AE 0 0
AI 0 0
AO 0 0
AU 10 124
EA 0 0
EE 8 102
EI 0 0
EO 0 0
EU 0 0
IA 0 0
IE 0 0
II 7 84
IO 0 0
IU 0 0
OA 0 0
OE 0 0
OI 0 0
OO 7 94
OU 9 116
UA 9 114
UE 13 159
UI 0 0
UO 0 0
UU 9 118
II 7 84
Am 9 114
Be 3 39
CF 10 129
CK 7 93
cK 10 131
CL 10 127
cN 12 158
CT 10 128
De 7 86
DL 8 106
DN 10 124
e' 3 32
E_ 11 143
eD 5 66
ed 8 107
eG 8 103
eJ 4 49
eK 20 248
eL 4 45
eM 6 82
eP 11 138
eR 4 45
eT 11 142
eV 6 79
eZ 11 134
Fe 7 94
Fs 4 51
Ge 3 33
GH 3 40
GN 9 108
He 7 86
Hn 18 228
Hr 13 167
Je 5 58
JN 7 92
Js 13 164
